timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763232100164,338,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-10,text,true,,4361,0,1,1,https://dev-finance.netlify.app/#,0,0,0
1763232100502,327,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-10,text,true,,4726,0,1,1,https://dev-finance.netlify.app/#,0,0,0
1763232100829,300,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-10,text,true,,5091,0,1,1,https://dev-finance.netlify.app/#,0,0,0
1763232181389,801,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,3631,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1763232182191,311,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,3996,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1763232182502,295,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,4361,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1763232182797,414,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,4726,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232182408,838,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-2,text,true,,3631,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232183211,327,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,5091,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232183246,336,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-2,text,true,,3996,0,3,3,https://dev-finance.netlify.app/#,0,0,0
1763232183538,333,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,5456,0,4,4,https://dev-finance.netlify.app/#,0,0,0
1763232183582,349,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-2,text,true,,4361,0,4,4,https://dev-finance.netlify.app/#,0,0,0
1763232183871,452,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,5821,0,4,4,https://dev-finance.netlify.app/#,0,0,0
1763232183408,915,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-3,text,true,,3631,0,4,4,https://dev-finance.netlify.app/#,0,0,0
1763232183932,469,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-2,text,true,,4726,0,4,4,https://dev-finance.netlify.app/#,0,0,0
1763232184323,371,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,6186,0,4,4,https://dev-finance.netlify.app/#,0,0,0
